title,7.5,7.8,1,3
title,7.8,7.99,10,12
title,7.99,8.17,8,10
title,8.17,8.45,6,8
title,8.45,9.57,1,3
title,9.57,9.75,11,12
title,9.75,9.94,8,10
title,9.94,10.22,6,8
title,10.22,11.33,3,5
title,11.33,11.52,11,13
title,11.52,11.7,10,12
title,11.7,11.98,8,10
title,11.98,12.82,5,7
title,12.82,13.28,13,15
title,13.28,13.47,11,13
title,13.47,13.75,8,10
title,13.75,14.12,10,12
title,14.12,14.58,6,8
title,14.58,14.86,1,3
title,14.86,15.05,10,12
title,15.05,15.23,8,10
title,15.23,15.51,6,8
title,15.51,16.63,1,3
title,16.63,16.81,10,12
title,16.81,17,8,10
title,17,17.28,6,8
title,17.28,18.39,3,5
title,18.39,18.58,11,13
title,18.58,18.76,10,12
title,18.76,19.04,8,10
title,19.04,19.88,13,15
title,19.88,20.06,15,17
title,20.06,20.34,13,15
title,20.34,20.53,11,13
title,20.53,20.81,8,10
title,20.81,21.64,6,8
title,21.64,23.68,10,12
title,23.68,23.87,13,15
title,23.87,24.24,6,8
title,24.24,24.33,8,10
title,24.33,25.17,10,12
title,25.17,26.28,11,13
title,26.28,27.21,10,12
title,27.21,27.68,8,10
title,27.68,27.86,6,8
title,27.86,28.33,8,10
title,28.33,28.79,13,15
title,28.79,30.74,10,12
title,30.74,31.02,13,15
title,31.02,31.3,6,8
title,31.3,31.39,8,10
title,31.39,32.32,10,12
title,32.32,33.44,11,13
title,33.44,34.09,10,12
title,34.09,34.55,13,15
title,34.55,34.74,11,13
title,34.74,35.02,8,10
title,35.02,36.04,6,8
