title,37.06,37.80,13
title,37.80,38.36,15
title,38.64,39.94,6
title,40.59,41.52,8
title,42.17,42.54,6
title,42.54,44.49,11
title,44.49,44.86,13
title,44.86,45.42,15
title,45.42,46.81,13
title,47.93,48.39,15
title,48.39,48.76,16
title,48.76,49.88,18
title,49.88,51.08,15
title,51.08,51.64,13
title,51.64,52.38,11
title,52.66,53.03,8
title,53.03,54.80,16
title,54.80,56.38,15
title,56.38,59.26,13
title,60.46,60.84,15
title,60.84,61.21,13
title,61.21,63.16,16
title,63.16,63.53,18
title,63.53,64.09,20
title,64.09,66.32,15
title,66.32,66.69,16
title,66.69,69.01,18
title,69.01,69.38,20
title,69.38,69.94,18
title,69.94,73.47,20
title,73.47,75.51,22
title,75.98,76.63,23
title,76.63,78.02,25
title,79.13,79.88,22
title,79.88,80.43,23
title,80.71,81.46,22
title,81.46,82.20,20
title,82.20,83.03,23
title,83.03,84.99,22
title,84.99,85.73,20
title,85.73,86.66,18
title,87.49,87.68,10
title,87.68,88.24,22
title,88.24,88.70,20
title,88.70,89.07,22
title,89.07,91.12,23
title,91.58,92.42,22
title,92.42,93.16,23
title,93.16,93.90,22
title,93.90,94.46,20
title,94.74,95.29,23
title,95.29,97.43,25
title,97.43,98.17,23
title,98.17,98.45,25
title,98.45,100.59,27
title,100.59,100.77,25
title,100.77,101.33,23
title,101.33,101.52,22
title,101.52,102.91,23
title,104.03,104.86,22
title,104.86,105.23,23
title,105.23,105.42,22
title,105.42,105.98,23
title,105.98,106.81,20
title,106.81,107.18,22
title,107.18,107.55,23
title,107.55,110.43,25
title,124.37,125.11,13
title,125.11,125.85,15
title,125.85,127.25,6
title,127.80,128.82,8
title,129.38,129.75,6
title,129.75,131.70,11
title,131.70,132.08,13
title,132.08,132.73,15
title,132.73,134.12,13
title,135.23,135.60,15
title,135.60,135.98,16
title,135.98,137.18,18
title,137.18,138.11,15
title,138.39,138.95,13
title,138.95,139.88,11
title,139.88,140.34,8
title,140.34,140.71,18
title,140.71,141.83,16
title,141.83,143.41,15
title,143.41,144.34,13
title,144.61,144.99,11
title,144.99,146.56,18
title,147.68,148.05,15
title,148.05,148.51,13
title,148.51,150.47,16
title,150.47,150.84,18
title,150.84,151.39,20
title,151.39,153.53,15
title,153.53,153.90,16
title,153.90,156.22,18
title,156.22,156.69,20
title,156.69,157.25,18
title,157.25,160.77,20
title,160.77,162.82,22
title,163.28,163.84,23
title,163.84,165.23,25
title,166.44,167.18,22
title,167.18,167.93,23
title,167.93,168.48,22
title,168.76,169.51,20
title,169.51,170.34,23
title,170.34,172.20,22
title,172.20,173.04,20
title,173.04,173.96,18
title,174.80,174.99,10
title,174.99,175.54,22
title,175.54,175.91,20
title,175.91,176.29,22
title,176.29,178.42,23
title,178.89,179.63,22
title,179.63,180.19,23
title,180.47,181.21,22
title,181.21,181.95,20
title,181.95,182.60,23
title,182.60,184.74,25
title,184.74,185.48,23
title,185.48,185.67,25
title,185.67,187.80,27
title,187.80,187.99,25
title,187.99,188.64,23
title,188.64,188.82,22
title,188.82,190.22,23
title,191.33,192.08,22
title,192.08,192.54,23
title,192.54,192.73,22
title,192.73,193.28,23
title,193.28,194.03,20
title,194.03,194.49,22
title,194.49,194.86,23
title,194.86,197.74,25
title,198.39,198.76,11
title,198.76,199.13,13
title,199.13,199.69,15
title,201.08,201.46,13
title,201.46,201.83,11
title,201.83,202.29,13
title,202.29,204.24,15
title,204.24,204.61,13
title,204.61,204.99,11
title,204.99,205.36,13
title,205.36,206.56,15
title,206.56,206.94,16
title,206.94,207.68,18
title,207.68,208.89,13
title,210.00,210.47,15
title,210.47,210.84,16
title,210.84,211.58,18
title,211.58,212.32,23
title,212.32,212.42,26
title,212.42,213.16,25
title,213.16,213.90,23
title,213.90,215.11,20
title,216.32,216.69,15
title,216.69,217.06,16
title,217.06,217.80,18
title,217.80,219.01,23
title,219.01,219.38,25
title,219.38,219.94,27
title,219.94,222.63,25
title,225.61,226.44,22
title,226.44,227.18,23
title,227.18,227.93,22
title,227.93,228.48,20
title,228.76,229.51,23
title,229.51,231.46,22
title,231.46,232.29,20
title,232.29,233.22,18
title,233.78,234.15,15
title,234.15,234.80,22
title,234.80,235.17,20
title,235.17,235.54,22
title,235.54,237.59,23
title,238.05,238.89,22
title,238.89,239.63,23
title,239.63,240.19,22
title,240.47,241.21,20
title,241.21,241.77,23
title,241.77,243.90,25
title,243.90,244.74,23
title,244.74,244.92,25
title,244.92,245.67,27
title,246.22,246.32,28
title,246.32,247.06,27
title,247.06,247.25,25
title,247.25,247.80,23
title,247.80,247.99,22
title,247.99,250.13,23
title,250.59,251.33,22
title,251.33,251.70,23
title,251.70,251.89,22
title,251.89,252.54,23
title,252.54,253.28,20
title,253.28,253.65,22
title,253.65,254.03,23
title,254.03,257.00,25
