36.97,37.04,11,11
37.11,37.87,13,14
38.22,38.43,16,15
38.5,40.82,7,8
40.96,43,9,10
43.61,44.28,11,11
44.35,44.95,13,14
45,45.28,16,16
45.46,45.67,12,12
45.88,48.02,14,13
48.2,48.62,16,17
48.76,49.69,19,18
49.83,50.41,16,16
50.99,51.08,11,11
51.13,51.59,13,12
51.64,52.11,11,11
52.57,52.8,9,9
52.99,53.27,14,15
53.5,53.73,16,16
53.96,54.03,14,14
54.06,55.15,16,15
55.64,56.68,13,14
57.17,57.35,11,11
57.45,61.16,13,14
61.9,62.81,15,15
62.88,63.41,17,18
63.48,63.83,19,20
63.99,64.11,13,13
64.23,64.55,16,16
64.88,66.04,14,15
66.18,66.78,16,17
66.87,69.06,18,19
69.15,69.43,20,20
70.08,72.54,20,20
72.82,72.84,18,18
73.05,73.63,20,20
73.7,75.51,22,22
75.84,75.95,28,27
75.98,76,10,10
76.02,76.35,22,23
76.49,78.69,24,25
79.04,80.02,21,22
80.06,80.48,23,23
80.53,80.69,21,21
80.76,81.01,23,22
81.08,81.22,21,21
81.59,81.66,20,20
81.97,82.18,21,22
82.2,83.78,23,22
84.06,85.7,21,20
87.77,88.31,22,23
88.51,88.54,20,20
88.65,89.21,22,23
91.44,91.49,21,21
91.58,92.9,22,23
93.02,93.18,27,27
93.34,95.34,22,23
95.39,96.27,25,25
96.55,96.57,23,23
96.6,97.25,25,25
97.34,98.01,23,24
98.22,98.31,25,25
98.36,99.43,27,27
99.85,100.01,25,26
100.03,100.19,27,27
100.26,100.59,25,25
100.68,101.94,22,23
103.89,104.16,28,27
104.4,105.65,22,23
105.7,106.77,20,21
106.81,107.62,22,23
107.69,109.55,24,25
109.6,118.47,26,25
123.99,124.32,11,11
124.46,125.36,14,15
125.39,125.69,16,16
125.76,127.92,7,7
127.99,129.78,9,10
129.85,130.87,12,12
131.24,131.45,10,10
131.66,132.33,13,13
132.59,132.89,11,12
133.1,135.23,14,13
135.33,135.88,16,16
136.07,137.25,19,19
137.56,137.93,16,16
138.3,138.46,11,12
138.53,138.74,13,13
138.81,139.53,11,11
140.25,140.41,16,17
140.43,140.97,18,18
141.36,143.1,15,15
144.34,144.4,9,10
144.43,144.85,11,11
144.94,145.5,16,17
145.87,147.08,18,19
147.59,149.68,15,16
149.72,149.84,17,17
149.95,150.07,15,15
150.14,150.67,17,18
150.74,151.12,19,20
151.25,152.39,13,14
152.51,153.74,15,16
153.86,155.11,17,18
155.16,156.67,19,20
157.2,157.25,20,20
157.29,157.36,18,19
157.38,159.78,20,20
160.08,160.1,17,17
160.31,160.98,20,21
161.01,162.93,22,22
163.1,163.31,28,27
163.42,164.05,23,24
164.07,165.67,25,25
165.74,166.09,27,27
166.44,168.46,22,22
169.41,169.55,21,22
169.64,171.67,23,22
171.92,172.08,22,22
172.2,172.36,20,20
174.85,174.87,17,17
175.03,175.33,22,22
176.1,176.61,22,23
178.7,178.79,21,21
178.89,180.19,23,23
180.28,180.33,27,27
180.37,182.56,22,23
182.6,185.53,24,25
185.62,187.57,27,27
187.76,187.87,25,25
187.94,188.31,22,23
188.55,189.15,22,23
191.15,191.24,28,27
191.29,191.47,20,20
191.66,192.05,22,22
192.08,192.17,10,10
192.26,192.93,23,23
193.05,194.07,20,21
194.12,194.89,22,23
194.95,196.63,24,25
196.72,198.11,26,26
198.67,199.83,13,13
200.99,201.85,15,15
202.71,203.41,19,19
204.1,206.7,15,16
209.95,210.19,14,14
210.33,210.88,16,17
210.93,211.23,18,18
212.46,213.79,24,24
213.95,214.32,19,18
214.46,215.25,21,21
216.04,216.62,14,14
217.15,217.62,18,18
217.76,218.45,22,23
218.82,218.94,23,23
219.01,219.54,25,26
219.57,219.75,27,27
219.89,220.36,24,25
220.4,224.17,26,25
225.51,225.54,28,28
225.56,227.83,22,21
228.16,228.55,20,20
228.95,230.18,23,22
230.48,231.55,21,20
233.78,233.8,16,16
233.82,233.85,14,14
233.87,233.99,16,16
234.1,234.73,21,22
235.13,235.57,22,22
235.87,236.08,24,24
237.96,238.21,21,22
238.24,239.33,23,23
239.54,239.58,27,27
239.82,241.65,22,23
241.77,242.16,24,25
242.18,242.79,26,25
243.07,244.81,24,25
244.92,246.76,27,27
246.83,247.15,25,25
247.2,248.06,22,22
250.64,252.19,22,23
252.26,253,20,20
253.19,253.26,27,27
253.28,253.52,21,21
253.65,254.42,23,24
254.44,259.41,25,25
